Nome,Edicao,Preco
"""A"" Cell Breeding Device ",(#FOTB-EN043),N.D
"""A"" Cell Incubator ",(#GLAS-EN062),N.D
"""A"" Cell Scatter Burst ",(#STON-EN041),N.D
"""B"" Retaliadora / Retaliating ""C"" ",(#CORE-PT045) / (#CORE-EN045),"
                        
                            
"
"""B"" Retaliadora / Retaliating ""C"" ",(#MP16-PT076) / (#MP16-EN076),"
                        
                            
"
"""B"" Retaliadora / Retaliating ""C"" ",(#OP04-PT007) / (#OP04-EN007),"
                        
                            
"
"""C"" Maxx / Maxx ""C"" ",(#AP04-PT002) / (#AP04-EN002),N.D
"""C"" Maxx / Maxx ""C"" ",(#CT09-PT012) / (#CT09-EN012),N.D
"""C"" Maxx / Maxx ""C"" ",(#LC5D-PT227) / (#LC5D-EN227),N.D
"""C"" Maxx / Maxx ""C"" ",(#PGL3-PT042) / (#PGL3-EN042),N.D
"""C"" Maxx / Maxx ""C"" ",(#SR03-PT020) / (#SR03-EN020),N.D
"""C"" Maxx / Maxx ""C"" ",(#STOR-PT086) / (#STOR-EN086),N.D
Ácaro Marionete / Marionette Mite ,(#SDZW-PT014) / (#SDZW-EN014),N.D
Ácaro Marionete / Marionette Mite ,(#SR07-PT020) / (#SR07-EN020),"
                        
                            
"
Ácaro Marionete / Marionette Mite ,(#STON-PT023) / (#STON-EN023),N.D
Água da Vida / Water of Life ,(#BLHR-PT002) / (#BLHR-EN002),"
                        
                            
"
Águia Punida / Punished Eagle ,(#MRD-100) / (#MRD-100),"
                        
                            
"
Águiadragão do Trovão / Thunder Dragonhawk ,(#MP19-PT168) / (#MP19-EN168),"
                        
                             
"
Águiadragão do Trovão / Thunder Dragonhawk ,(#SOFU-PT020) / (#SOFU-EN020),"
                        
                             
"
Área da Não Agressão / Non Aggression Area ,(#DR1-PT049) / (#DR1-EN049),N.D
Área da Não Agressão (#PGD-101 / Non Aggression Area (#PGD-101 ,) / ),N.D
Área de Pêndulo / Pendulum Area ,(#DOCS-PT077) / (#DOCS-EN077),N.D
Árvore Cristalina / Crystal Tree ,(#DP07-PT020) / (#DP07-EN020),"
                        
                            
"
Árvore Cristalina / Crystal Tree ,(#LCGX-PT170) / (#LCGX-EN170),N.D
Árvore Cristalina / Crystal Tree ,(#LED2-PT045) / (#LED2-EN045),"
                        
                            
"
Árvore Sagrada de Naturia / Naturia Sacred Tree ,(#NECH-PT076) / (#NECH-EN076),"
                        
                            
"
Ás Psíquico / Psychic Ace ,(#CYHO-PT023) / (#CYHO-EN023),"
                        
                            
"
Ás Psíquico / Psychic Ace ,(#MP19-PT092) / (#MP19-EN092),"
                        
                            
"
Âncora Sucata / Junk Anchor ,(#CROS-PT098) / (#CROS-EN098),"
                        
                            
"
É um Mundo Toon! / It's a Toon World! ,(#SS01-PTCS1) / (#SS01-ENCS1),"
                        
                            
"
"Éter, o Dragão Edificante / Aether, the Empowering Dragon ",(#DEM3-PT008) / (#DEM3-EN008),N.D
"Éter, o Dragão Edificante / Aether, the Empowering Dragon ",(#YS14-PT011) / (#YS14-EN011),N.D
"Éter, o Maligno Dragão Edificante / Aether, the Evil Empowering Dragon ",(#CT13-PT011) / (#CT13-EN011),"
                        
                            
"
Ídolo dos Mil Olhos / Thousand-Eyes Idol ,(#OP07-PT027) / (#OP07-EN027),"
                        
                            
"
Índice Toon / Toon Table of Contents ,(#DASA-PT043) / (#DASA-EN043),"
                        
                            
"
Índice Toon / Toon Table of Contents ,(#DB2-PT121) / (#DB2-EN121),N.D
Índice Toon / Toon Table of Contents ,(#DPBC-PT047) / (#DPBC-EN047),"
                        
                            
"
Índice Toon / Toon Table of Contents ,(#GLD4-PT039) / (#GLD4-EN039),N.D
Índice Toon / Toon Table of Contents ,(#LCYW-PT116) / (#LCYW-EN116),N.D
Índice Toon / Toon Table of Contents ,(#SS01-PTC10) / (#SS01-ENC10),N.D
